Year,YrLab,Period,Situk,Alsek,Taku,Stikine,Chilkat,Unuk,Nass,Skeena,Kitsumkalum,Wannock,ChuckKill,AtnarkoWild,WCVI,NWVI,SWVI,Bedwell,Megin,Moyeha,Colonial,Artlish,Kaouk,Tahsish,Phillips,Cowichan,Nanaimo,FraserSp13,L.Chilcotin,FraserSp12,Nicola12,FraserSum13,Chilko,FraserSum03,L.Shuswap,Harrison,SkagitSp,SkagitSF,Stillaguamish,Snohomish,Green,NooksackSp,LkWash,Hoko,QuillSum,QuillFall,HohSpSum,HohFall,QueetsSpSum,QueetsFa,GraysHbrSpr,GraysHbrFall,ColRUpSpr,ColRSum,ColRURB,Coweeman,Lewis,Deschutes,Nehalem Hab,Siletz Hab,Siuslaw Hab,Umpqua,Coquille,Dean,Atnarko,UpperGeo,Nehalem MR,Siletz MR,Siuslaw MR
1975,1975,1975-84,NA,NA,12920,7571,NA,NA,14895,NA,NA,3000,150,NA,NA,125,50,NA,25,25,NA,25,75,25,400,NA,NA,9460,1359,8360,5606,17747,12140,41164,31570,NA,NA,11320,1198,3953,3394,NA,918,NA,NA,NA,NA,NA,NA,NA,NA,4251,NA,15000,29600,296,13859,NA,5197,2062,4427,212,4408,NA,NA,20949,NA,NA,NA
1976,1976,1975-84,1421,5282,24582,5723,NA,NA,13819,NA,NA,1500,100,NA,NA,76,75,NA,50,25,1,25,25,25,400,NA,NA,9339,1279,5575,4445,12968,7320,5930,3347,NA,NA,14120,2140,4659,3140,NA,582,NA,1300,2500,600,2500,505,1200,600,1836,NA,11700,27700,528,3371,NA,9807,1326,7999,136,1980,NA,NA,22298,NA,NA,NA
1977,1977,1975-84,1732,12706,29497,11445,NA,4706,14288,NA,NA,1400,550,NA,NA,235,100,NA,50,50,NA,60,75,100,200,NA,NA,11458,1119,4458,3498,16981,7860,25808,15503,NA,NA,9218,1475,5542,3804,NA,944,NA,3800,3300,1000,2100,732,3600,800,5195,NA,14403,36060,337,6930,7903,11478,3314,9492,230,3922,NA,NA,23570,NA,NA,NA
1978,1978,1975-84,808,12034,17124,6835,NA,5344,16885,NA,NA,2000,500,NA,NA,150,51,35,6,10,NA,50,50,50,400,NA,NA,15385,1359,5209,3974,17819,8398,23662,17220,NA,NA,13075,1232,7905,3304,NA,1245,NA,2300,4700,1400,1900,1110,2200,1000,4555,NA,18667,25798,243,5363,5393,12059,2062,5872,439,3543,NA,NA,17572,12596.82084,6302.55486,2805.66433
1979,1979,1975-84,1284,17354,21617,12610,NA,2783,12783,NA,NA,2000,50,NA,3334,330,56,NA,50,6,30,40,60,200,250,7750,NA,14590,2398,3437,3017,9526,3823,24918,16453,NA,NA,13306,1042,5726,9704,NA,1739,NA,2100,3900,1400,1700,870,3900,400,9381,NA,18797,28926,344,8023,5126,12205,7217,8040,394,3613,NA,NA,8858,12745.04899,17712.10837,3447.989689
1980,1980,1975-84,905,10718,39239,30573,NA,4909,14855,NA,NA,2000,NA,NA,7678,400,185,NA,160,25,NA,100,100,200,250,5500,NA,16287,2239,7460,6180,12775,5691,10262,5723,NA,NA,20058,821,6526,7743,NA,1903,NA,964,6700,800,2200,1038,3200,200,11656,9418,13854,27658,180,16394,4106,5555,3680,10630,537,3599,NA,NA,5776,6949.165805,10344.41692,5192.508282
1981,1981,1975-84,702,8587,49559,36057,NA,3532,13925,NA,NA,3000,100,NA,6516,1606,175,NA,150,25,6,500,100,1000,1000,5500,NA,11129,959,3718,3258,11991,4155,16057,8248,NA,NA,8283,630,3330,3606,NA,970,NA,815,5963,1498,3100,988,4250,924,7577,15426,8639,19520,116,19297,6070,10752,4435,8724,976,3864,NA,NA,9611,11262.0304,13029.08167,3755.845912
1982,1982,1975-84,434,9584,23848,40488,NA,6528,10359,NA,NA,750,950,NA,7827,1212,125,25,100,NA,12,100,100,1000,200,4500,NA,12923,879,6637,4737,13280,6018,7733,2894,NA,NA,9910,773,4498,1840,NA,1189,NA,1126,7107,1553,4500,781,4150,610,5606,14834,6587,28313,146,8370,5513,5085,3415,10870,1109,5581,NA,NA,15091,5455.707415,9694.502612,5089.889542
1983,1983,1975-84,592,10344,9794,6424,NA,5436,16301,NA,NA,1750,1400,NA,3770,1201,NA,NA,NA,NA,1,400,300,500,1000,4500,NA,24433,1599,3264,2407,15321,6779,9222,5396,NA,NA,8723,387,4537,3679,NA,1646,NA,548,3069,1696,2500,1044,2750,800,5482,14710,6334,45402,122,13540,5491,4431,2136,4186,1678,2871,NA,NA,12977,4586.341436,6482.829449,1292.996134
1984,1984,1975-84,1726,7213,20778,13995,NA,8876,24967,37792,9569,750,575,NA,5450,2550,NA,NA,NA,NA,NA,650,400,1500,200,5000,NA,29770,1519,8068,4679,13588,4816,15460,7582,120835,NA,12628,374,3484,3353,233,1610,NA,618,9128,1430,1900,958,4350,1128,21058,12874,13984,53947,683,7132,2779,20341,3461,11168,2794,4031,NA,NA,9292,21165.83247,9597.990243,3817.417156
1985,1985,1985-98,1521,6087,35916,16037,NA,5721,19694,34728,9081.0087,1300,340,NA,4548,1900,NA,NA,NA,NA,NA,400,300,1200,445,3500,NA,42847,2398,11800,7088,16177,5145,20143,10539,174776,NA,16002,1409,4730,2908,703,1255,NA,550,6145,978,1725,677,4150,1157,9537,20213,14505,80756,491,7491,7902,18670,6628,14822,2385,2838,NA,NA,13348,19412.64248,16482.23791,6772.83689
1986,1986,1985-98,2067,11069,38111,14889,NA,10273,38661,23987,8080.5533,7000,175,NA,4176,1202,40,10,30,NA,2,100,100,1000,3000,1832,NA,50497,5277,12604,7876,28859,8398,31125,20334,162594,NA,17908,1277,4534,4792,396,1846,801,853,10006,1248,4981,925,7894,1795,13808,17508,14850,92796,396,11983,7467,10389,6748,14844,1616,4194,NA,NA,24804,14051.58164,14670.70328,6608.646905
1987,1987,1985-98,1379,11276,28935,24632,NA,9533,21470,96457,15549.0133,4500,700,NA,3774,702,33,8,25,NA,2,100,100,500,3000,1937,NA,49636,6076,6434,4445,22020,10007,29371,16453,79036,NA,9409,1321,4689,10338,429,2652,581,666,12352,1710,4006,598,6557,841,19013,17067,13415,125632,386,12935,9187,13560,4577,17603,3032,5281,NA,NA,33135,16013.15941,8974.516771,6423.523238
1988,1988,1985-98,868,8852,44524,37554,NA,8437,16848,61199,15853,4000,375,NA,6784,598,40,10,30,NA,NA,86,112,400,350,6200,NA,41008,5453,5501,3246,28287,8976,40486,24331,35114,NA,11468,717,4513,7994,689,1015,651,2599,15168,2605,4128,1765,9494,3106,28158,17231,13634,97719,1890,12059,9548,14889,7805,41746,4194,6965,NA,NA,9142,16974.91969,17212.96304,16818.22976
