Year	SitukAux	ChilkatAux	UnukAux	ChickaminAux	AlsekAux	TakuAux	StikineAux
1975 						0.053	0.090
1976 	0.390				0.088	0.041	0.070
1977 	0.369				0.099	0.084	0.143
1978 	0.368				0.169	0.101	0.173
1979 	0.432				0.127	0.165	0.282
1980 	0.466				0.114	0.133	0.227
1981 	0.502				0.083	0.116	0.109
1982 	0.314				0.053	0.170	0.149
1983 	0.308			0.480	0.009	0.149	0.372
1984 	0.246			0.457	0.008	0.148	0.205
1985 	0.243			0.406	0.034	0.084	0.302
1986 	0.098			0.533	0.042	0.064	0.352
1987 	0.389			0.584	0.030	0.063	0.243
1988 	0.273			0.475	0.025	0.062	0.156
1989 	0.375			0.488	0.022	0.108	0.244
1990 	0.313			0.458	0.009	0.109	0.285
1991 	0.452			0.522	0.009	0.120	0.267
1992 	0.466			0.522	0.050	0.096	0.171
1993 	0.430			0.493	0.021	0.142	0.127
1994 	0.550			0.540	0.048	0.138	0.165
1995 	0.648			0.460	0.026	0.130	0.214
1996 	0.662			0.504	0.046	0.111	0.183
1997 	0.533		0.083	0.515	0.043	0.096	0.274
1998 	0.646		0.122	0.498	0.074	0.102	0.139
1999 	0.688		0.246	0.390	0.032	0.199	0.297
2000 	0.489		0.210	0.288	0.079	0.132	0.185
2001 	0.643		0.137	0.307	0.075	0.132	0.089
2002 	0.309		0.165	0.264	0.112	0.143	0.127
2003 	0.553		0.201	0.336	0.137	0.156	0.147
2004 	0.599	0.206	0.186	0.315	0.085	0.120	0.234
2005 	0.158	0.136	0.356	0.435	0.061	0.431	0.478
2006 	0.212	0.121	0.213	0.418	0.186	0.340	0.537
2007 	0.260	0.325	0.288	0.380	0.124	0.373	0.642
2008 	0.502	0.230	0.207	0.281	0.252	0.244	0.480
2009 	0.494	0.099	0.264	0.237	0.162	0.431	0.389
2010 	0.726	0.372	0.291	0.278	0.063	0.274	0.356
2011 	0.216	0.290	0.369	0.248	0.105	0.318	0.366
2012 	0.261	0.375	0.744	0.395	0.231	0.341	0.338
2013 	0.339	0.188	0.626	0.371	0.101	0.166	0.315
2014 	0.225	0.416	0.457	0.310	0.256	0.196	0.214
2015 	0.108	0.224	0.581	0.357	0.065	0.184	0.246
2016 	0.163	0.232	0.501	0.449	0.085	0.291	0.372
2017 	0.021	0.169	0.311	0.347	0.096	0.248	0.248
2018 	0.005	0.183	0.303	0.281	0.026	0.196	0.029
2019 	0.000	0.041	0.235	0.386	0.021	0.035	0.107
2020 	0.000	0.024	0.345	0.000	0.041	0.068	0.093
2021 	0.062	0.035	0.178	0.000	0.066	0.069	0.124
2022 	0.013	0.026	0.359	0.000	0.040	0.077	0.158
2023 	0.000	0.036	0.349	0.000	0.039	0.076	0.091
