erafishery,year,Kept,Released,Release_rate
CBC S,1973,0,0,0
CBC S,1974,0,0,0
CBC S,1975,0,0,0
CBC S,1976,0,0,0
CBC S,1977,4773,0,0
CBC S,1978,5694,0,0
CBC S,1979,5225,0,0
CBC S,1980,4802,0,0
CBC S,1981,3490,0,0
CBC S,1982,5419,0,0
CBC S,1983,4271,0,0
CBC S,1984,4354,0,0
CBC S,1985,3943,0,0
CBC S,1986,4566,0,0
CBC S,1987,3933,0,0
CBC S,1988,3596,0,0
CBC S,1989,3438,0,0
CBC S,1990,4053,0,0
CBC S,1991,4409,0,0
CBC S,1992,4891,0,0
CBC S,1993,6114,0,0
CBC S,1994,4303,0,0
CBC S,1995,2172,0,0
CBC S,1996,2936,0,0
CBC S,1997,8524,0,0
CBC S,1998,5514,0,0
CBC S,1999,10300,0,0
CBC S,2000,7400,0,0
CBC S,2001,7650,0,0
CBC S,2002,7330,0,0
CBC S,2003,8385,146,0.017114055
CBC S,2004,10677,77,0.007160126
CBC S,2005,9017,302,0.032406911
CBC S,2006,9400,428,0.043549044
CBC S,2007,6130,118,0.018886044
CBC S,2008,2909,607,0.172639363
CBC S,2009,3239,0,0
CBC S,2010,4043,0,0
CBC S,2011,7701,498,0.060739115
CBC S,2012,5861,0,0
CBC S,2013,4457,0,0
CBC S,2014,7800,0,0
CBC S,2015,10597,0,0
CBC S,2016,5769,60,0.010293361
CBC S,2017,6679,0,0
CBC S,2018,7704,96,0.012307692
CBC S,2019,10750,153,0.014032835
CBC S,2020,1387,355,0.203788749
CBC S,2021,2339,0,0
CBC S,2022,6181,0,0
CBC S,2023,7573,0,0
NBC AABM S,1973,0,0,0
NBC AABM S,1974,0,0,0
NBC AABM S,1975,0,0,0
NBC AABM S,1976,0,0,0
NBC AABM S,1977,0,0,0
NBC AABM S,1978,0,0,0
NBC AABM S,1979,0,0,0
NBC AABM S,1980,0,0,0
NBC AABM S,1981,0,0,0
NBC AABM S,1982,0,0,0
NBC AABM S,1983,0,0,0
NBC AABM S,1984,0,0,0
NBC AABM S,1985,0,0,0
NBC AABM S,1986,0,0,0
NBC AABM S,1987,0,0,0
NBC AABM S,1988,0,0,0
NBC AABM S,1989,0,0,0
NBC AABM S,1990,0,0,0
NBC AABM S,1991,0,0,0
NBC AABM S,1992,0,0,0
NBC AABM S,1993,0,0,0
NBC AABM S,1994,0,0,0
NBC AABM S,1995,22531,10664,0.321253201
NBC AABM S,1996,10488,15963,0.603493252
NBC AABM S,1997,27738,31577,0.532361123
NBC AABM S,1998,34130,30644,0.473091055
NBC AABM S,1999,30227,15824,0.343619031
NBC AABM S,2000,22100,24573,0.526492833
NBC AABM S,2001,30400,30522,0.50100128
NBC AABM S,2002,47100,42226,0.47271791
NBC AABM S,2003,54300,47549,0.466857799
NBC AABM S,2004,74000,116741,0.612039362
NBC AABM S,2005,68800,60987,0.469900683
NBC AABM S,2006,64500,32480,0.334914415
NBC AABM S,2007,61000,35527,0.368052462
NBC AABM S,2008,43500,10649,0.196661065
NBC AABM S,2009,34000,17234,0.336378186
NBC AABM S,2010,43400,32117,0.425294967
NBC AABM S,2011,48000,46453,0.491810742
NBC AABM S,2012,40050,22235,0.356988039
NBC AABM S,2013,46650,47931,0.506771973
NBC AABM S,2014,44900,36920,0.451234417
NBC AABM S,2015,52200,72749,0.58222955
NBC AABM S,2016,42800,29711,0.409744728
NBC AABM S,2017,45600,28724,0.38647005
NBC AABM S,2018,36700,40079,0.522004715
NBC AABM S,2019,45200,24651,0.352908333
NBC AABM S,2020,6087,0,0
NBC AABM S,2021,26517,9515,0.264070826
NBC AABM S,2022,25674,16187,0.386684503
NBC AABM S,2023,26477,39965,0.601502062
NBC ISBM S,1973,0,0,0
NBC ISBM S,1974,0,0,0
NBC ISBM S,1975,0,0,0
NBC ISBM S,1976,0,0,0
NBC ISBM S,1977,1670,0,0
NBC ISBM S,1978,1668,0,0
NBC ISBM S,1979,2523,0,0
NBC ISBM S,1980,3867,0,0
NBC ISBM S,1981,2760,0,0
NBC ISBM S,1982,3760,0,0
NBC ISBM S,1983,4092,0,0
NBC ISBM S,1984,2300,0,0
NBC ISBM S,1985,3600,0,0
