finescale_fishery,fishery_full_name
CA JDF S SUMMER,Juan de Fuca Summer
JOHN ST S SUMMER,Johnstone Strait Summer
NGS S SUMMER,Northern Georgia Strait Summer
NWCVI AABM S SUMMER,Northern West Coast Vancouver Island AABM Summer
NWCVI ISBM S SUMMER,Northern West Coast Vancouver Island ISBM Summer
SGS S SUMMER,Southern Georgia Strait Summer
SWCVI AABM S SUMMER,Southern West Coast Vancouver Island AABM Summer
SWCVI ISBM S SUMMER,Southern West Coast Vancouver Island ISBM Summer
CA JDF S FALL,Juan de Fuca Fall
CA JDF S SPRING,Juan de Fuca Spring
JOHN ST S FALL,Johnstone Strait Fall
JOHN ST S SPRING,Johnstone Strait Spring
NGS S FALL,Northern Georgia Strait Fall
NGS S SPRING,Northern Georgia Strait Spring
NWCVI AABM S FALL,Northern West Coast Vancouver Island AABM Fall
NWCVI AABM S SPRING,Northern West Coast Vancouver Island AABM Spring
SGS S FALL,Southern Georgia Strait Fall
SGS S SPRING,Southern Georgia Strait Spring
SWCVI AABM S FALL,Southern West Coast Vancouver Island AABM Fall
SWCVI AABM S SPRING,Southern West Coast Vancouver Island AABM Spring
NORTH AABM S,Northern BC AABM
NORTH ISBM S FALL,Northern BC ISBM Fall
NORTH ISBM S SPRING,Northern BC ISBM Spring
