"","...1","year","invitees","month_numerical","responses","month","month_abb"
"1",1,"2012/13",NA,4,NA,"April","Apr"
"2",2,"2013/14",3328,4,1130,"April","Apr"
"3",3,"2014/15",3611,4,1264,"April","Apr"
"4",4,"2015/16",5659,4,1876,"April","Apr"
"5",5,"2016/17",4840,4,1817,"April","Apr"
"6",6,"2017/18",4614,4,1619,"April","Apr"
"7",7,"2018/19",6860,4,2073,"April","Apr"
"8",8,"2019/20",6565,4,2499,"April","Apr"
"9",9,"2020/21",7986,4,4034,"April","Apr"
"10",10,"2021/22",11243,4,5347,"April","Apr"
"11",11,"2022/23",11143,4,5864,"April","Apr"
"12",12,"2023/24",10786,4,5536,"April","Apr"
"13",13,"2024/25",11408,4,5492,"April","Apr"
"14",14,"2025/26",13197,4,6273,"April","Apr"
"15",15,"2012/13",NA,5,NA,"May","May"
"16",16,"2013/14",5506,5,1734,"May","May"
"17",17,"2014/15",4616,5,1346,"May","May"
"18",18,"2015/16",9468,5,2779,"May","May"
"19",19,"2016/17",9295,5,3432,"May","May"
"20",20,"2017/18",9939,5,3387,"May","May"
"21",21,"2018/19",11009,5,3092,"May","May"
"22",22,"2019/20",9568,5,3278,"May","May"
"23",23,"2020/21",18967,5,9313,"May","May"
"24",24,"2021/22",21265,5,9872,"May","May"
"25",25,"2022/23",23886,5,11791,"May","May"
"26",26,"2023/24",26536,5,13184,"May","May"
"27",27,"2024/25",25221,5,12019,"May","May"
"28",28,"2025/26",26462,5,12297,"May","May"
"29",29,"2012/13",NA,6,NA,"June","Jun"
"30",30,"2013/14",5279,6,1600,"June","Jun"
"31",31,"2014/15",8498,6,2437,"June","Jun"
"32",32,"2015/16",10182,6,2668,"June","Jun"
"33",33,"2016/17",10317,6,3846,"June","Jun"
"34",34,"2017/18",10618,6,3117,"June","Jun"
"35",35,"2018/19",14536,6,3080,"June","Jun"
"36",36,"2019/20",12717,6,3791,"June","Jun"
"37",37,"2020/21",28927,6,13536,"June","Jun"
"38",38,"2021/22",29330,6,13161,"June","Jun"
